Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
8/8/2025 23:03,STOCK,BUY,239,TO OPEN,SPRU,,,STOCK,1.55,1.55,LMT
8/8/2025 23:01,STOCK,BUY,400,TO CLOSE,SPRU,,,STOCK,1.56,1.56,LMT
8/8/2025 23:01,STOCK,BUY,400,TO CLOSE,SPRU,,,STOCK,1.56,1.56,LMT
8/8/2025 23:01,STOCK,BUY,111,TO CLOSE,SPRU,,,STOCK,1.56,1.56,LMT
8/8/2025 23:01,STOCK,BUY,399,TO CLOSE,SPRU,,,STOCK,1.56,1.56,LMT
8/8/2025 23:01,STOCK,BUY,500,TO CLOSE,SPRU,,,STOCK,1.5599,1.5599,LMT
8/8/2025 23:01,STOCK,BUY,190,TO CLOSE,SPRU,,,STOCK,1.5599,1.55989,LMT
8/8/2025 23:00,STOCK,SELL,-943,TO OPEN,SPRU,,,STOCK,1.5,1.5,LMT
8/8/2025 23:00,STOCK,SELL,-48,TO OPEN,SPRU,,,STOCK,1.5,1.5,LMT
8/8/2025 22:59,STOCK,SELL,-5,TO OPEN,SPRU,,,STOCK,1.51,1.51,LMT
8/8/2025 22:59,STOCK,SELL,-4,TO OPEN,SPRU,,,STOCK,1.51,1.51,LMT
8/8/2025 22:58,STOCK,SELL,-536,TO OPEN,SPRU,,,STOCK,1.53,1.53,LMT
8/8/2025 22:58,STOCK,SELL,-100,TO OPEN,SPRU,,,STOCK,1.53,1.53,LMT
8/8/2025 22:58,STOCK,SELL,-200,TO OPEN,SPRU,,,STOCK,1.53,1.53,LMT
8/8/2025 22:58,STOCK,SELL,-64,TO OPEN,SPRU,,,STOCK,1.53,1.53,LMT
8/8/2025 22:58,STOCK,SELL,-100,TO OPEN,SPRU,,,STOCK,1.53,1.53,LMT
8/8/2025 22:57,STOCK,BUY,131,TO CLOSE,SPRU,,,STOCK,1.52,1.52,LMT
8/8/2025 22:57,STOCK,BUY,1271,TO CLOSE,SPRU,,,STOCK,1.52,1.52,LMT
8/8/2025 22:57,STOCK,BUY,235,TO CLOSE,SPRU,,,STOCK,1.52,1.52,LMT
8/8/2025 22:57,STOCK,BUY,69,TO CLOSE,SPRU,,,STOCK,1.52,1.52,LMT
8/8/2025 22:56,STOCK,BUY,284,TO CLOSE,SPRU,,,STOCK,1.52,1.52,LMT
8/8/2025 22:56,STOCK,BUY,10,TO CLOSE,SPRU,,,STOCK,1.52,1.52,LMT
8/8/2025 22:53,STOCK,SELL,-1000,TO OPEN,SPRU,,,STOCK,1.57,1.57,LMT
8/8/2025 22:50,STOCK,SELL,-1000,TO OPEN,SPRU,,,STOCK,1.55,1.55,LMT
8/8/2025 22:49,STOCK,SELL,-2000,TO CLOSE,SPRU,,,STOCK,1.5601,1.5601,LMT
8/8/2025 22:47,STOCK,BUY,1000,TO OPEN,SPRU,,,STOCK,1.7,1.7,LMT
8/8/2025 22:45,STOCK,BUY,1000,TO OPEN,SPRU,,,STOCK,1.71,1.71,LMT
8/8/2025 22:44,STOCK,SELL,-1000,TO CLOSE,SPRU,,,STOCK,1.6301,1.6301,LMT
8/8/2025 22:43,STOCK,BUY,1000,TO OPEN,SPRU,,,STOCK,1.64,1.64,LMT
